TmStamp,GHI,DNI,DHI,DNI_extra,amb_temp,sol_azi,sol_zen,albedo,Measured POA,airmass,Hour
2021-05-10 12:31:00-07:00,1044.39501953125,950.7396850585938,125.69066619873047,1338.992128782401,25.229999542236328,201.99816174424893,18.338032470272083,0.18596895039081573,1069.6168212890625,1.0530480733962755,12.0
2021-05-10 12:32:00-07:00,1042.5438232421875,953.78515625,122.29027557373047,1338.992128782401,25.219999313354492,202.71158559712825,18.415690690725242,0.18610775470733643,1065.3695068359375,1.0535213934608612,12.0
2021-05-10 12:33:00-07:00,1045.354736328125,956.7222290039062,123.07911682128906,1338.992128782401,25.059999465942383,203.41946927144627,18.495688486848536,0.18615500628948212,1068.5426025390625,1.0540114408570436,12.0
2021-05-10 12:34:00-07:00,1050.8868408203125,957.0321044921875,127.26611328125,1338.992128782401,25.399999618530273,204.1217231957117,18.578004950972485,0.18624259531497955,1072.8505859375,1.0545183118715376,12.0
2021-05-10 12:35:00-07:00,1045.6932373046875,944.1968994140625,139.20999145507812,1338.992128782401,25.809999465942383,204.81826498131966,18.66260281257101,0.1861697882413864,1081.5909423828125,1.0550420058940302,12.0
2021-05-10 12:36:00-07:00,459.2386474609375,311.63177490234375,166.90457153320312,1338.992128782401,25.719999313354492,205.50901976567124,18.74944238654689,0.18391744792461395,562.6004638671875,1.0555825095456879,12.0
2021-05-10 12:37:00-07:00,1055.334228515625,940.0674438476562,147.20953369140625,1338.992128782401,25.440000534057617,206.19391824325277,18.838496668336276,0.18549829721450806,1027.6207275390625,1.0561398907190778,12.0
2021-05-10 12:38:00-07:00,1058.6177978515625,952.426513671875,139.58311462402344,1338.992128782401,25.18000030517578,206.87289930452155,18.929737193781577,0.18525026738643646,1074.887451171875,1.0567142113101777,12.0
2021-05-10 12:39:00-07:00,1054.93115234375,950.227783203125,137.46205139160156,1338.992128782401,25.139999389648438,207.54590802678268,19.02313520841649,0.1849392056465149,1070.3018798828125,1.0573055341972704,12.0
2021-05-10 12:40:00-07:00,1067.4608154296875,956.9993286132812,144.06472778320312,1338.992128782401,25.530000686645508,208.2128959819799,19.11866204828283,0.18479572236537933,1085.1585693359375,1.057913925431891,12.0
2021-05-10 12:41:00-07:00,1078.7991943359375,959.685546875,153.97360229492188,1338.992128782401,25.3700008392334,208.8738210571453,19.216270633233563,0.18485498428344727,1096.156982421875,1.0585393351303078,12.0
2021-05-10 12:42:00-07:00,1089.347412109375,958.4242553710938,166.37954711914062,1338.992128782401,25.459999084472656,209.528647278816,19.31594117763781,0.18486158549785614,1103.8009033203125,1.0591818892133231,12.0
2021-05-10 12:43:00-07:00,1104.89990234375,958.963623046875,183.5523223876953,1338.992128782401,25.510000228881836,210.17734462408677,19.41763711868201,0.18469427525997162,1115.9464111328125,1.0598416078280053,12.0
